Rank,First,Last,Team,G,Rec,Yds,Y/G,Avg,Lng,YAC,1stD,TD,Rush,Yds,Y/G,Avg,TD,Fum,FumL,RetTD
119,Josh,Morgan,SFO,5,15,220,44,14.7,30,6.9,12,1,0,0,0,0,0,0,0,0
120,Braylon,Edwards,SFO,9,15,181,20.1,12.1,24,3.2,9,0,0,0,0,0,0,0,0,0
121,Derrick,Mason,NYJ,5,19,170,14.2,8.9,30,2.6,11,0,0,0,0,0,0,0,0,0
122,Jesse,Holley,DAL,16,7,169,10.6,24.1,77,8.6,6,0,0,0,0,0,0,0,0,0
123,Michael,Floyd,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Kevin,Ogletree,DAL,14,15,164,11.7,10.9,33,3.7,11,0,0,0,0,0,0,1,1,0
125,Chastin,West,JAC,12,13,163,13.6,12.5,23,3.8,9,2,0,0,0,0,0,0,0,0
126,Leonard,Hankerson,WAS,4,13,163,40.8,12.5,23,3,8,0,0,0,0,0,0,0,0,0
127,Eddie,Royal,DEN,12,19,155,12.9,8.2,26,3.7,8,1,0,0,0,0,1,0,0,1
128,Mike,Sims-Walker,STL,4,12,150,25,12.5,33,2.8,8,0,0,0,0,0,0,0,0,0
129,T.J.,Houshmandzadeh,OAK,9,11,146,16.2,13.3,40,3.5,5,1,0,0,0,0,0,0,0,0
130,Terrence,Austin,WAS,13,12,137,10.5,11.4,32,2.3,6,0,0,0,0,0,0,1,1,0
131,Steve,Smith,PHI,9,11,124,13.8,11.3,20,3,5,1,0,0,0,0,0,0,0,0
132,Greg,Camarillo,MIN,13,9,121,9.3,13.4,23,2,6,0,0,0,0,0,0,0,0,0
133,Alshon,Jeffery,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Terrance,Copper,KAN,16,8,114,7.1,14.3,43,5.5,6,0,0,0,0,0,0,0,0,0
135,Sam,Hurd,CHI,12,8,109,9.1,13.6,28,4.5,5,0,0,0,0,0,0,1,0,0
136,Ricardo,Lockette,SEA,2,2,105,52.5,52.5,61,10,2,1,0,0,0,0,0,0,0,0
137,Anthony,Armstrong,WAS,14,7,103,7.4,14.7,50,1.3,4,2,0,0,0,0,0,0,0,0
138,Randy,Moss,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Patrick,Turner,NYJ,15,8,96,6.4,12,25,3.3,6,1,0,0,0,0,0,0,0,0
140,Ramses,Barden,NYG,8,9,94,11.8,10.4,26,3.1,5,0,0,0,0,0,0,0,0,0
141,Bernard,Berrian,MIN,5,7,91,18.2,13,30,0.4,3,0,0,0,0,0,0,0,0,0
142,Eric,Weems,ATL,16,11,90,5.6,8.2,18,2.7,5,0,0,0,0,0,0,0,0,0
143,Bryant,Johnson,HOU,16,6,90,5.6,15,40,1.8,4,1,0,0,0,0,0,0,0,0
144,Keary,Colbert,KAN,7,9,89,12.7,9.9,19,4,4,0,0,0,0,0,0,1,0,0
145,Ruvell,Martin,BUF,14,7,82,5.9,11.7,28,4.7,5,0,0,0,0,0,0,0,0,0
146,David,Anderson,WAS,4,7,79,13.2,11.3,23,2.4,5,1,0,0,0,0,0,0,0,0
147,Lee,Evans,BAL,9,4,74,8.2,18.5,32,3.3,4,0,0,0,0,0,0,0,0,0
148,Rashied,Davis,DET,11,4,63,5.7,15.8,22,9,4,0,0,0,0,0,0,0,0,0
149,Sammie,Stroughter,TAM,6,4,52,8.7,13,29,5.8,2,0,0,0,0,0,0,0,0,0
150,Deon,Butler,SEA,5,6,51,10.2,8.5,15,1.7,3,0,0,0,0,0,0,0,0,0
151,Domenik,Hixon,NYG,2,4,50,25,12.5,22,1.8,3,1,0,0,0,0,0,0,0,0
152,LaQuan,Williams,BAL,12,4,46,3.8,11.5,15,2,3,0,0,0,0,0,0,0,0,0
153,Matthew,Slater,NWE,16,1,46,2.9,46,46,5,1,0,0,0,0,0,0,0,0,0
154,Danny,Amendola,STL,1,5,45,45,9,18,3.6,3,0,0,0,0,0,0,0,0,0
155,Donnie,Avery,TEN,8,3,45,5.6,15,23,8,3,1,0,0,0,0,0,0,0,0
156,Kassim,Osgood,JAC,12,5,42,3.5,8.4,19,3,2,0,0,0,0,0,0,0,0,0
157,Taylor,Price,NWE,3,2,39,7.8,19.5,21,4,2,0,0,0,0,0,0,0,0,0
158,Chansi,Stuckey,ARI,9,4,39,4.3,9.8,12,2.5,2,0,0,0,0,0,0,1,1,0
159,Stephen,Burton,MIN,3,2,38,12.7,19,21,3.5,2,0,0,0,0,0,0,0,0,0
160,Devin,Thomas,NYG,16,3,37,2.3,12.3,14,4.7,2,0,0,0,0,0,0,0,0,0
161,DeMarco,Sampson,ARI,12,3,36,3,12,15,3,3,0,0,0,0,0,0,0,0,0
162,Jerheme,Urban,KAN,6,4,35,5.8,8.8,24,2,1,1,0,0,0,0,0,0,0,0
163,Julian,Edelman,NWE,13,4,34,2.6,8.5,11,2.3,0,0,0,0,0,0,1,0,0,1
164,Adrian,Arrington,NOR,4,2,31,7.8,15.5,17,0,2,0,0,0,0,0,0,0,0,0
165,Carlton,Mitchell,CLE,11,3,31,2.8,10.3,19,1.3,2,0,0,0,0,0,0,0,0,0
166,Cecil,Shorts,JAC,10,2,30,3,15,25,2,2,1,0,0,0,0,0,0,0,0
167,Tiquan,Underwood,NWE,6,3,30,5,10,13,2.7,2,0,0,0,0,0,0,0,0,0
168,Kris,Durham,SEA,3,3,30,10,10,12,0.7,2,0,0,0,0,0,0,0,0,0
169,Bryan,Walters,SDG,4,3,27,6.8,9,13,5.3,2,0,0,0,0,0,0,0,0,0
170,Ryan,Whalen,CIN,4,4,27,6.8,6.8,13,1.8,2,0,0,0,0,0,0,0,0,0
171,Mark,Clayton,STL,2,3,26,13,8.7,12,1.3,1,0,0,0,0,0,0,0,0,0
172,Brian,Robiskie,CLE,6,3,25,4.2,8.3,14,1.3,2,0,0,0,0,0,0,0,0,0
173,Marc,Mariani,TEN,16,5,24,1.5,4.8,6,3.8,0,0,0,0,0,0,1,0,0,0
174,Chad,Hall,PHI,7,3,20,2.9,6.7,16,3.7,1,1,0,0,0,0,0,0,0,0
175,Stefan,Logan,DET,16,1,19,1.2,19,19,23,1,0,0,0,0,0,0,0,0,0
176,Clyde,Gates,MIA,15,2,19,1.3,9.5,11,0.5,1,0,0,0,0,0,0,0,0,0
177,Roscoe,Parrish,BUF,2,1,16,8,16,16,16,1,0,0,0,0,0,0,0,0,0
178,Brett,Swain,SFO,5,2,15,3,7.5,9,5.5,1,0,0,0,0,0,0,0,0,0
179,Jordan,Shipley,CIN,2,4,14,7,3.5,5,0.3,0,0,0,0,0,0,0,1,0,0
180,Micheal,Spurlock,TAM,12,2,13,1.1,6.5,7,2,0,0,0,0,0,0,0,0,0,0
181,Brandon,Banks,WAS,16,1,10,0.6,10,10,13,1,0,0,0,0,0,0,0,0,0
182,Emmanuel,Arceneaux,MIN,3,1,10,3.3,10,10,4,1,0,0,0,0,0,0,0,0,0
183,Nick,Miller,OAK,2,1,8,1,8,8,11,0,0,0,0,0,0,1,0,0,0
184,Maurice,Stovall,DET,15,1,8,0.5,8,8,12,1,0,0,0,0,0,0,0,0,0
